"Entity","Attribute","Classword_Type","Teradata_Type","PK","Required","Description","Parent_Entity"
"SERVICE_REQUEST_TYPE","Service_Request_Type_Cd","Classword_Code","VARCHAR(50)","Y","Y","This describes the type of service such as auto body repair, glass work, change lock, and towing.",""
"SERVICE_REQUEST_TYPE","Service_Request_Type_Desc","Classword_Description","VARCHAR(500)","","N","This is a description of the code.",""
"SERVICE_TYPE","Service_Type_Cd","Classword_Code","VARCHAR(50)","Y","Y","A code that uniquely identifies the service type.  Examples: - Rx billing - Service billing",""
"SERVICE_TYPE","Service_Type_Desc","Classword_Description","VARCHAR(500)","","N","A description of the service type.",""
"SESSION_ATTRIBUTE_TYPE","Session_Attribute_Type_Cd","Classword_Code","VARCHAR(50)","Y","Y","This code captures information regarding types of session attributes.  Examples: - Session basket activity - Max session metrics",""
"SESSION_ATTRIBUTE_TYPE","Web_Visit_Id","Classword_Identifier","BIGINT","Y","Y","This is the unique identifier for an event. In this context this is the unique identifier for a visit.",""
"SESSION_ATTRIBUTE_TYPE","Session_Attribute_Type_Desc","Classword_Description","VARCHAR(500)","","N","This is the description of the code.",""
"SESSION_EVENT_INFORMATION","Web_Page_Id","Classword_Identifier","BIGINT","Y","Y","This is the unique identifier of a particular web page instance.",""
"SESSION_EVENT_INFORMATION","Web_Visit_Id","Classword_Identifier","BIGINT","Y","Y","This is the unique identifier for an event. In this context this is the unique identifier for a visit.",""
"SESSION_EVENT_INFORMATION","Interaction_Activity_Type_Cd","Classword_Code","VARCHAR(50)","Y","Y","This code captures information regarding the various types of activities a visitor can engage in on the enterprises web site.",""
"SESSION_EVENT_INFORMATION","Visitor_Interaction_Event_Sequence_Cnt","Classword_Count","INTEGER","Y","Y","This is the sequence count for a visitor interaction event. Having a sequence count allows multiple event types to occur within a single visitor session.",""
"SESSION_EVENT_INFORMATION","Session_Event_Information_Txt","Classword_Text","VARCHAR(2000)","","N","This entity contains session information related to the page event. It is the URL of the download link, exit link or custom link clicked.",""
"SESSION_EVENT_INFORMATION","Session_Event_Information_Name","Classword_Name","VARCHAR(100)","","N","The name of the page view event link.",""
"SESSION_EVENT_INFORMATION","Session_Event_Information_Status_Ind","Classword_Indicator","CHAR(1)","","N","Indicates the status of the event.",""
"SETTLEMENT_DELIVERY_TYPE","Settlement_Delivery_Type_Cd","Classword_Code","VARCHAR(50)","Y","Y","A code for the method of delivery of the goods such as: - B = Book (security being traded is registered in the street name where the brokerage is designated the security nominee by the client. This allows securities to settle electronically as book entries in the broker's account at the depository trust company) - P = Physical (securities with actual paper documents that must be physically transferred and are typically in the client's name) - L = Foreign Local Market (securities traded on a fore",""
"SETTLEMENT_DELIVERY_TYPE","Settlement_Delivery_Type_Desc","Classword_Description","VARCHAR(500)","","N","A description of the code.",""
"SETTLEMENT_DIRECTION_TYPE","Settlement_Direction_Type_Cd","Classword_Code","VARCHAR(50)","Y","Y","Indicates whether your enterprise is the deliverer, the receiver, or both of the settlement.  Values: - D = delivery - R = receive - B = delivery and receive",""
"SETTLEMENT_DIRECTION_TYPE","Settlement_Direction_Type_Desc","Classword_Description","VARCHAR(500)","","N","A description of the code.",""
"SETTLEMENT_LOCATOR_ROLE_TYPE","Settlement_Locator_Role_Cd","Classword_Code","VARCHAR(50)","Y","Y","The role of this locator with this settlement instruction such as: - Delivery street address - Physical delivery phone number - Alternate phone number",""
"SETTLEMENT_LOCATOR_ROLE_TYPE","Settlement_Locator_Role_Desc","Classword_Description","VARCHAR(500)","","N","A description of the code.",""
"SETTLEMENT_PARTY_ROLE_TYPE","Trade_Settlement_Party_Role_Cd","Classword_Code","VARCHAR(50)","Y","Y","A code for the role that this party plays with this trade settlement instruction.  Examples are: - Clearinghouse: the clearinghouse used for book deliveries. - Instruction Originator: the person who originated or last updated this instruction information. - Destination Agent or Department: the agent or department within the destination financial institution that is responsible for the receiving agreement specified in the settlement instruction - Destination Financial Institution: the financial i",""
"SETTLEMENT_PARTY_ROLE_TYPE","Settlement_Party_Role_Desc","Classword_Description","VARCHAR(500)","","N","A description of the code.",""
"SETTLEMENT_PRODUCT_REASON_TYPE","Product_Settlement_Reason_Cd","Classword_Code","VARCHAR(50)","Y","Y","A code for the reason this group of products is associated with this settlement instruction such as ""applies to"" and ""does not apply to.""",""
"SETTLEMENT_PRODUCT_REASON_TYPE","Product_Settlement_Reason_Desc","Classword_Description","VARCHAR(500)","","N","A description of the code.",""
"SET_OF_BOOKS","Set_Of_Books_Cd","Classword_Code","VARCHAR(50)","Y","Y","The unique identifier for the SET OF BOOKS.  It is a collection of accounting transactions used by a company. A collection is typically referred to as a 'set of books.'",""
"SET_OF_BOOKS","Parent_Set_of_Books_Cd","Classword_Code","VARCHAR(50)","","N","The unique identifier for the SET OF BOOKS.  It is a collection of accounting transactions used by a company. A collection is typically referred to as a 'set of books.'",""
"SET_OF_BOOKS","Set_Of_Books_Start_Dttm","Classword_Datetime","TIMESTAMP","Y","Y","The date marking the beginning for a SET OF BOOKS.",""
"SET_OF_BOOKS","Set_Of_Books_End_Dttm","Classword_Datetime","TIMESTAMP","","N","The date marking the end for a SET OF BOOKS.",""
"SET_OF_BOOKS","Set_Of_Books_Name","Classword_Name","VARCHAR(100)","","N","The name assigned to the SET OF BOOKS.",""
"SET_OF_BOOKS","Set_Of_Books_Desc","Classword_Description","VARCHAR(500)","","N","The description of the SET OF BOOKS.",""
"SET_OF_BOOKS","Set_Of_Books_Type_Cd","Classword_Code","VARCHAR(50)","","N","The code assigned to the SET OF BOOKS.  Examples: - Prime - U.S. GAAP adjusted - Statutory",""
"SET_OF_BOOKS","Covered_Organization_Party_Id","Classword_Identifier","BIGINT","","N","The unique identifier for an organization.  In this context, this is the organization to which this set of books applies.",""
"SET_OF_BOOKS_CALENDAR_YEAR","Set_Of_Books_Cd","Classword_Code","VARCHAR(50)","Y","Y","The unique identifier for the SET OF BOOKS.  It is a collection of accounting transactions used by a company. A collection is typically referred to as a 'set of books.'",""
"SET_OF_BOOKS_CALENDAR_YEAR","Custom_Calendar_Year_Id","Classword_Identifier","BIGINT","Y","Y","The unique identifier for a CUSTOM CALENDAR YEAR.  In the context of finance, a fiscal year.",""
"SET_OF_BOOKS_CALENDAR_YEAR","Set_Of_Books_Calendar_Start_Dttm","Classword_Datetime","TIMESTAMP","Y","Y","The date and time a set of books association with a calendar started.",""
"SET_OF_BOOKS_CALENDAR_YEAR","Set_Of_Books_Calendar_End_Dttm","Classword_Datetime","TIMESTAMP","","N","The date and time a set of books association with a calendar ended.",""
"SET_OF_BOOKS_CURRENCY","Set_Of_Books_Cd","Classword_Code","VARCHAR(50)","Y","Y","The unique identifier for the SET OF BOOKS.  It is a collection of accounting transactions used by a company. A collection is typically referred to as a 'set of books.'",""
"SET_OF_BOOKS_CURRENCY","Currency_Cd","Classword_Code","VARCHAR(50)","Y","Y","The code for the currency.  Examples: - U.S. dollars - Canadian dollars - Japanese yen  The currency of the books may be in the corporate currency for financial reporting purposes and may also be in the local currency (e.g., if the company is an American legal entity then the global currency is USD).",""
"SET_OF_BOOKS_CURRENCY","Set_Of_Books_Currency_Start_Dttm","Classword_Datetime","TIMESTAMP","Y","Y","The date on which the currency type is associated with a set of books.",""
"SET_OF_BOOKS_CURRENCY","Set_Of_Books_Currency_End_Dttm","Classword_Datetime","TIMESTAMP","","N","The date on which the currency type is no longer associated with a set of books.",""
"SET_OF_BOOKS_INTERNAL_ORGANIZATION","Set_Of_Books_Cd","Classword_Code","VARCHAR(50)","Y","Y","The unique identifier for the SET OF BOOKS.  It is a collection of accounting transactions used by a company. A collection is typically referred to as a 'set of books.'",""
"SET_OF_BOOKS_INTERNAL_ORGANIZATION","Set_Of_Books_Organization_Start_Dttm","Classword_Datetime","TIMESTAMP","Y","Y","The date the SET OF BOOKS and internal organization association started.",""
"SET_OF_BOOKS_INTERNAL_ORGANIZATION","Internal_Organization_Party_Id","Classword_Identifier","BIGINT","Y","Y","The unique identifier for an organization.  In this context, this is the internal organization uses this SET OF BOOKS starts on this date.",""
"SET_OF_BOOKS_INTERNAL_ORGANIZATION","Set_Of_Books_Organization_End_Dttm","Classword_Datetime","TIMESTAMP","","N","The date the SET OF BOOKS and internal organization association ended.",""
"SET_OF_BOOKS_RELATED","Set_Of_Books_Cd","Classword_Code","VARCHAR(50)","Y","Y","The unique identifier for the SET OF BOOKS.  It is a collection of accounting transactions used by a company. A collection is typically referred to as a 'set of books.'",""
"SET_OF_BOOKS_RELATED","Related_Set_Of_Books_Cd","Classword_Code","VARCHAR(50)","Y","Y","The unique identifier for the SET OF BOOKS.  It is a collection of accounting transactions used by a company. A collection is typically referred to as a 'set of books.'  In this context, this is the set of books related to the other set of books at any level in the hierarchy.",""
"SET_OF_BOOKS_RELATED","Set_Of_Books_Related_Reason_Cd","Classword_Code","VARCHAR(50)","Y","Y","The role that one set of books has with another such as rolls up to or replaces.",""
"SET_OF_BOOKS_RELATED","Set_Of_Books_Related_Start_Dt","Classword_Date","DATE","Y","Y","The time and date this set of books became associated with the other set of books for this structure.",""
"SET_OF_BOOKS_RELATED","Set_Of_Books_Related_End_Dt","Classword_Date","DATE","","N","This is the end date for the association.",""
"SET_OF_BOOKS_RELATED_REASON","Set_Of_Books_Related_Reason_Cd","Classword_Code","VARCHAR(50)","Y","Y","The code for the SET OF BOOKS RELATED REASON. Describes the reason two sets of books are related, for example, a GAAP set of books would be related to a tax set of books if they are for the same legal entity.",""
"SET_OF_BOOKS_RELATED_REASON","Set_Of_Books_Related_Reason_Desc","Classword_Description","VARCHAR(500)","","N","A description of the code.",""
"SET_OF_BOOKS_TYPE","Set_Of_Books_Type_Cd","Classword_Code","VARCHAR(50)","Y","Y","The code assigned to the SET OF BOOKS.  Examples: - Prime - U.S. GAAP adjusted - Statutory",""
"SET_OF_BOOKS_TYPE","Set_Of_Books_Type_Desc","Classword_Description","VARCHAR(500)","","N","The description of the SET OF BOOKS.",""
"SEVERITY_TYPE","Severity_Type_Cd","Classword_Code","VARCHAR(50)","Y","Y","This is a code for the degree of severity of something that happened. Possible values include major requiring hospitalization, medium no hospitalization, medium emergency room only, or minor injuries.",""
"SEVERITY_TYPE","Severity_Type_Desc","Classword_Description","VARCHAR(500)","","N","A description of the code.",""
"SHARE_REPURCHASE","Share_Repurchase_Announcement_Dt","Classword_Date","DATE","","N","The date the repurchase was announced.","INVESTMENT_CORPORATE_ACTION"
"SHARE_REPURCHASE","Share_Repurchase_Price_Amt","Classword_Amount","DECIMAL(18,4)","","N","The amount of the repurchase.","INVESTMENT_CORPORATE_ACTION"
"SHARE_REPURCHASE","Share_Repurchase_Period_Start_Dt","Classword_Date","DATE","","N","The date the repurchase will start.","INVESTMENT_CORPORATE_ACTION"
"SHARE_REPURCHASE","Share_Repurchase_Period_End_Dt","Classword_Date","DATE","","N","The date the repurchase will end.","INVESTMENT_CORPORATE_ACTION"
"SHOPPING_CART","Shopping_Visitor_Id","Classword_Identifier","BIGINT","Y","Y","This is the unique identifier for a visitor that is not known.",""
"SHOPPING_CART","Shopping_Cart_Id","Classword_Identifier","BIGINT","Y","Y","The unique identifier for a visitor's shopping cart. The marketing warehouse uses this parameter to identify events associated with a specific cart.",""
"SHOPPING_CART","Shopping_Cart_Sequence_Cnt","Classword_Count","INTEGER","Y","Y","Sequence count for shopping cart activity.",""
