Rank,BVF_Data_Requirement,FSDM_Subject_Area,Priority_Score,Profitability_Cap_Count,Total_Cap_Count,Avg_Reuse_Coeff,Star_Schema_Coverage,FSDM_Entity_Count,Implementation_Tier
91,KYC Data,Party,22.45,0,43,0.4743,0,26,Tier 4 (Future)
92,"Documents - Structured Data Capture (Survey, Application Forms)",Cross Subject - Document,22.44,0,43,0.472,0,30,Tier 4 (Future)
93,Customer Research - Primary & Secondary,Cross Subject - Survey,22.4,4,19,0.4483,0,30,Tier 4 (Future)
94,External Data - Competitor Product & Pricing,Party & Product,21.9,3,24,0.448,0,30,Tier 4 (Future)
95,Business Process Definition,Not Covered,21.9,3,24,0.4512,0,30,Tier 4 (Future)
96,"Operational metrics (E.g. Wait times, queue length)",Internal Organisation,20.4,4,15,0.4493,0,27,Tier 4 (Future)
97,Text Data,Cross Subject - Document,19.44,0,37,0.4717,0,30,Tier 4 (Future)
98,External Prospect Data / Lists,Party,18.92,1,30,0.4598,0,30,Tier 4 (Future)
99,"External Economic Data (E.g. Property Prices, Salary)",Party,18.45,1,29,0.4739,0,30,Tier 4 (Future)
100,External Data - News / Industry Feeds E.g. Reuters,Cross Subject - Document,17.45,0,33,0.4742,0,30,Tier 4 (Future)
101,Customer Core Contact Details,Location,16.45,0,31,0.4754,0,30,Tier 4 (Future)
102,Lead Foodchain data,Party or Agreement,15.91,0,30,0.4539,0,30,Tier 4 (Future)
103,External Data - Corporate Actions,Event,15.44,0,29,0.4708,0,30,Tier 4 (Future)
104,External Data - Fraud Watch Lists,Cross Subject - Watch List,13.43,0,25,0.4663,0,30,Tier 4 (Future)
105,Compliance Approvals,Cross Subject,12.88,0,24,0.4424,0,21,Tier 4 (Future)
106,Campaign Promotional Calendar,Campaign,12.36,1,17,0.4316,0,30,Tier 4 (Future)
107,Document Image,Cross Subject - Document,9.9,0,18,0.4494,0,30,Tier 4 (Future)
108,Voice Recording,Cross Subject - Multi-media object,9.39,0,17,0.4459,0,30,Tier 4 (Future)
109,Offer Catalogue,Campaign,9.37,0,17,0.4362,0,30,Tier 4 (Future)
110,External Data - External Loss Data,Not Covered,8.89,0,16,0.4452,0,30,Tier 4 (Future)
111,"System Log Files (E.g. Firewall, Webserver)",Not Covered,7.88,0,14,0.4407,0,30,Tier 4 (Future)
112,Media Asset Details,Campaign,5.35,0,9,0.4237,0,30,Tier 4 (Future)
113,Rich Media from all sources,Cross Subject - Multi-media object,4.87,0,8,0.4335,0,30,Tier 4 (Future)
