Theme,Capability,Sub_Capability,Data_Requirement,FSDM_Subject_Area,FSDM_Entities
Marketing and Customer Experience,Customer Insight,"Customer, Product & Channel  insight",KYC Data,Party,PARTY_IDENTIFICATION; PARTY_CLASSIFICATION; PARTY_IDENTITY_DOCUMENT; PARTY_COMPLIANCE_VERIFICATION
Marketing and Customer Experience,Customer Insight,"Customer, Product & Channel  insight",Customer Demographics,Party,INDIVIDUAL; PARTY_DEMOGRAPHIC; PARTY_CLASSIFICATION; PARTY_PREFERENCE
Marketing and Customer Experience,Customer Insight,"Customer, Product & Channel  insight",Customer Attitudinal Data,Party,PARTY_PREFERENCE; PARTY_CLASSIFICATION; PARTY_SURVEY_RESPONSE
Marketing and Customer Experience,Customer Insight,"Customer, Product & Channel  insight",Customer Segments,Party,PARTY_CLASSIFICATION; PARTY_SEGMENT; PARTY_CLASSIFICATION_VALUE
Marketing and Customer Experience,Customer Insight,"Customer, Product & Channel  insight",Customer Contact Preferences,Party,PARTY_PREFERENCE; PARTY_CONTACT_POINT; ELECTRONIC_ADDRESS; POSTAL_ADDRESS
Marketing and Customer Experience,Customer Insight,"Customer, Product & Channel  insight",Customer Marketing Preferences,Party,PARTY_PREFERENCE; PARTY_MARKETING_PREFERENCE; PARTY_CONSENT
Marketing and Customer Experience,Customer Insight,"Customer, Product & Channel  insight",Customer Satisfaction Measurement (E.g. NPS),Party,PARTY_SURVEY_RESPONSE; SURVEY; SURVEY_QUESTION_RESPONSE
Marketing and Customer Experience,Customer Insight,"Customer, Product & Channel  insight",External Prospect Data / Lists,Party,PARTY; PROSPECT; PARTY_LIST; PARTY_LIST_MEMBERSHIP
Marketing and Customer Experience,Customer Insight,"Customer, Product & Channel  insight",External Data - Social Media Data,Party,SOCIAL_MEDIA_ACCOUNT; SOCIAL_MEDIA_TRANSFER; SOCIAL_MEDIA_POST
Marketing and Customer Experience,Customer Insight,"Customer, Product & Channel  insight",External Data - Bureau data,Party,PARTY_CREDIT_BUREAU_REPORT; CREDIT_BUREAU_SCORE; PARTY_EXTERNAL_RATING
Marketing and Customer Experience,Customer Insight,"Customer, Product & Channel  insight","Sales and Performance Forecasts, Targets & KPIs",Party,PERFORMANCE_METRIC; PERFORMANCE_TARGET; ORGANIZATION_PERFORMANCE
Marketing and Customer Experience,Customer Insight,"Customer, Product & Channel  insight",Customer Core Contact Details,Location,PARTY_CONTACT_POINT; ELECTRONIC_ADDRESS; POSTAL_ADDRESS; TELEPHONE_NUMBER
Marketing and Customer Experience,Customer Insight,"Customer, Product & Channel  insight",Master & Reference Data - geography / location,Location,GEOGRAPHICAL_AREA; GEOGRAPHICAL_UNIT; SITE; POSTAL_ADDRESS
Marketing and Customer Experience,Customer Insight,"Customer, Product & Channel  insight",Master & Reference Data - product,Product,Not mapped
Marketing and Customer Experience,Customer Insight,"Customer, Product & Channel  insight","Product Revenue, Cost & Margin",Product,PRODUCT; PRODUCT_PRICING; PRODUCT_COST; AGREEMENT_SUMMARY
Marketing and Customer Experience,Customer Insight,"Customer, Product & Channel  insight",Product NPV's,Product,PRODUCT; PRODUCT_VALUATION; AGREEMENT_SUMMARY
Marketing and Customer Experience,Customer Insight,"Customer, Product & Channel  insight",External Data - Competitor Product & Pricing,Party & Product,PRODUCT; MARKET_INDEX
Marketing and Customer Experience,Customer Insight,"Customer, Product & Channel  insight",Account / Policy / Service Holdings,Agreement,AGREEMENT; PARTY_AGREEMENT_ROLE; AGREEMENT_PARTY_ROLE; AGREEMENT_RELATIONSHIP
Marketing and Customer Experience,Customer Insight,"Customer, Product & Channel  insight",Account / Policy / Service Detail,Agreement,AGREEMENT; LOAN_TERM_AGREEMENT; DEPOSIT_AGREEMENT; INSURANCE_AGREEMENT; CREDIT_CARD_AGREEMENT
Marketing and Customer Experience,Customer Insight,"Customer, Product & Channel  insight",Account Status (open closed active / domant /inactive / closure reason ),Agreement,AGREEMENT; AGREEMENT_STATUS; AGREEMENT_STATUS_HISTORY
Marketing and Customer Experience,Customer Insight,"Customer, Product & Channel  insight",Account Terms & Conditions,Agreement,AGREEMENT; AGREEMENT_CONDITION; AGREEMENT_TERM
Marketing and Customer Experience,Customer Insight,"Customer, Product & Channel  insight",Account Feature Usage,Agreement,AGREEMENT_FEATURE; FEATURE; DESCRIPTIVE_FEATURE
Marketing and Customer Experience,Customer Insight,"Customer, Product & Channel  insight","Application Data (New Customer, New Product)",Agreement,APPLICATION; APPLICATION_STATUS; APPLICATION_PARTY_ROLE
Marketing and Customer Experience,Customer Insight,"Customer, Product & Channel  insight",Account Balances,Agreement,AGREEMENT_SUMMARY; BALANCE_SUMMARY; AGREEMENT_BALANCE
Marketing and Customer Experience,Customer Insight,"Customer, Product & Channel  insight",Investment Value,Agreement,INVESTMENT_ACCOUNT; INVESTMENT_HOLDING; INVESTMENT_PRODUCT_PRICE
Marketing and Customer Experience,Customer Insight,"Customer, Product & Channel  insight",Account Maturity Dates & Repricing Schedules,Agreement,AGREEMENT; AGREEMENT_TERM; AGREEMENT_REPRICING_SCHEDULE
Marketing and Customer Experience,Customer Insight,"Customer, Product & Channel  insight",Customer Illustrations,Agreement,DOCUMENT; PARTY_DOCUMENT
Marketing and Customer Experience,Customer Insight,"Customer, Product & Channel  insight",Customer Quotes,Agreement,APPLICATION; QUOTE; DOCUMENT
