Theme,Capability,Sub_Capability,Data_Requirement,FSDM_Subject_Area,FSDM_Entities
Risk Management & Regulation,Modelling and Predictiions,Market & Liquidity Value at Risk (M-VaR) Modelling,Market / Trading Book Positions,Agreement,TRADE_ORDER; TRADE_EXECUTION; TRADING_POSITION
Risk Management & Regulation,Modelling and Predictiions,Market & Liquidity Value at Risk (M-VaR) Modelling,Mark to market valuations,Agreement,INVESTMENT_PRODUCT_PRICE; MARKET_INDEX_VALUE; AGREEMENT_VALUATION
Risk Management & Regulation,Modelling and Predictiions,Market & Liquidity Value at Risk (M-VaR) Modelling,Cashflow Projections,Agreement,AGREEMENT_CASHFLOW; CASHFLOW_SCHEDULE; AGREEMENT_SUMMARY
Risk Management & Regulation,Modelling and Predictiions,Market & Liquidity Value at Risk (M-VaR) Modelling,Account Maturity Dates & Repricing Schedules,Agreement,AGREEMENT; AGREEMENT_TERM; AGREEMENT_REPRICING_SCHEDULE
Risk Management & Regulation,Modelling and Predictiions,Market & Liquidity Value at Risk (M-VaR) Modelling,Account Repayment Schedules,Agreement,AGREEMENT_REPAYMENT_SCHEDULE; LOAN_TERM_AGREEMENT
Risk Management & Regulation,Modelling and Predictiions,Market & Liquidity Value at Risk (M-VaR) Modelling,Amortisation Schedules,Agreement,AGREEMENT_AMORTIZATION_SCHEDULE; LOAN_TERM_AGREEMENT
Risk Management & Regulation,Modelling and Predictiions,Market & Liquidity Value at Risk (M-VaR) Modelling,Collateral Agreements,Agreement,COLLATERAL_AGREEMENT; COLLATERAL; COLLATERAL_VALUATION; PARTY_ASSET
Risk Management & Regulation,Modelling and Predictiions,Market & Liquidity Value at Risk (M-VaR) Modelling,Risk Exposures,Agreement,AGREEMENT_RISK_METRIC; RISK_EXPOSURE; CREDIT_RISK_SUMMARY
Risk Management & Regulation,Modelling and Predictiions,Market & Liquidity Value at Risk (M-VaR) Modelling,Account Limits,Cross Subject  -  Limits,AGREEMENT_LIMIT; LIMIT; PARTY_LIMIT
Risk Management & Regulation,Modelling and Predictiions,Market & Liquidity Value at Risk (M-VaR) Modelling,"Risk Segments, Cohorts & Groupings",Party or Agreement,PARTY_CLASSIFICATION; RISK_GRADE_VALUE; RISK_GRADE_SCHEME
Risk Management & Regulation,Modelling and Predictiions,Market & Liquidity Value at Risk (M-VaR) Modelling,"Provisions, Losses & Writeoffs",Party or Agreement,AGREEMENT_RISK_METRIC; PROVISION; WRITE_OFF; LOSS_EVENT
Risk Management & Regulation,Modelling and Predictiions,Market & Liquidity Value at Risk (M-VaR) Modelling,Financial Transactions,Event,MONETARY_TRANSACTION; TRANSACTION_TYPE; FINANCIAL_TRANSACTION; PAYMENT
Risk Management & Regulation,Modelling and Predictiions,Market & Liquidity Value at Risk (M-VaR) Modelling,Financial Interbank Payments,Event,PAYMENT; INTERBANK_PAYMENT; FINANCIAL_TRANSACTION
Risk Management & Regulation,Modelling and Predictiions,Market & Liquidity Value at Risk (M-VaR) Modelling,Defaults & Limit Breaches,Event,AGREEMENT_STATUS; DEFAULT_EVENT; LIMIT_BREACH_EVENT; AGREEMENT_RISK_METRIC
Risk Management & Regulation,Modelling and Predictiions,Market & Liquidity Value at Risk (M-VaR) Modelling,Master & Reference Data - organisation hierarchy,Internal Organisation,ORGANIZATION; INTERNAL_ORGANIZATION_UNIT; ORGANIZATION_UNIT_RELATIONSHIP; ORGANIZATION_BUSINESS_TYPE
Risk Management & Regulation,Modelling and Predictiions,Market & Liquidity Value at Risk (M-VaR) Modelling,Finance Systems - General Ledger,Finance,Not mapped
Risk Management & Regulation,Modelling and Predictiions,Market & Liquidity Value at Risk (M-VaR) Modelling,Finance Systems - ERP,Finance,GL_ACCOUNT; GL_MAIN_ACCOUNT; VENDOR; VENDOR_INVOICE
Risk Management & Regulation,Modelling and Predictiions,Market & Liquidity Value at Risk (M-VaR) Modelling,"Finance Systems - Budgets, Plans & Forecasts",Finance,GL_ACCOUNT; BUDGET; FORECAST; FINANCIAL_PLAN
Risk Management & Regulation,Modelling and Predictiions,Market & Liquidity Value at Risk (M-VaR) Modelling,External Data - News / Industry Feeds E.g. Reuters,Cross Subject - Document,DOCUMENT; NEWS_FEED; MARKET_INDEX
Risk Management & Regulation,Modelling and Predictiions,Market & Liquidity Value at Risk (M-VaR) Modelling,Master & Reference Data - Risk Policy Rules,Cross Subject - Document,RISK_GRADE_SCHEME; RISK_GRADE_VALUE; RISK_POLICY; BUSINESS_RULE
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,Single Customer View (Master Record),Party,PARTY; INDIVIDUAL; ORGANIZATION; HOUSEHOLD; PARTY_RELATIONSHIP; PARTY_IDENTIFICATION
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,KYC Data,Party,PARTY_IDENTIFICATION; PARTY_CLASSIFICATION; PARTY_IDENTITY_DOCUMENT; PARTY_COMPLIANCE_VERIFICATION
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,Customer Demographics,Party,INDIVIDUAL; PARTY_DEMOGRAPHIC; PARTY_CLASSIFICATION; PARTY_PREFERENCE
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,Customer Attitudinal Data,Party,PARTY_PREFERENCE; PARTY_CLASSIFICATION; PARTY_SURVEY_RESPONSE
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,Customer Segments,Party,PARTY_CLASSIFICATION; PARTY_SEGMENT; PARTY_CLASSIFICATION_VALUE
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,Customer Contact Preferences,Party,PARTY_PREFERENCE; PARTY_CONTACT_POINT; ELECTRONIC_ADDRESS; POSTAL_ADDRESS
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,Customer Marketing Preferences,Party,PARTY_PREFERENCE; PARTY_MARKETING_PREFERENCE; PARTY_CONSENT
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,Customer Satisfaction Measurement (E.g. NPS),Party,PARTY_SURVEY_RESPONSE; SURVEY; SURVEY_QUESTION_RESPONSE
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,Economic Forecast Data,Party,ECONOMIC_INDEX; ECONOMIC_INDEX_VALUE; MARKET_INDEX
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,Legal Actions,Party,PARTY_LEGAL_ACTION; LEGAL_ACTION; PARTY_LITIGATION
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,External Prospect Data / Lists,Party,PARTY; PROSPECT; PARTY_LIST; PARTY_LIST_MEMBERSHIP
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,External Data - Social Media Data,Party,SOCIAL_MEDIA_ACCOUNT; SOCIAL_MEDIA_TRANSFER; SOCIAL_MEDIA_POST
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,External Data - Bureau data,Party,PARTY_CREDIT_BUREAU_REPORT; CREDIT_BUREAU_SCORE; PARTY_EXTERNAL_RATING
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,External Data - Credit Rating,Party,PARTY_EXTERNAL_RATING; PARTY_LIABILITY_CREDIT_RATING; CREDIT_BUREAU_SCORE
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,"External Economic Data (E.g. Property Prices, Salary)",Party,ECONOMIC_INDEX; ECONOMIC_INDEX_VALUE; MARKET_INDEX; MARKET_INDEX_VALUE
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,Master & Reference Data - staff / colleague,Party,INDIVIDUAL; ASSOCIATE; ASSOCIATE_ASSIGNMENT; INTERNAL_ORGANIZATION_UNIT
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,"Sales and Performance Forecasts, Targets & KPIs",Party,PERFORMANCE_METRIC; PERFORMANCE_TARGET; ORGANIZATION_PERFORMANCE
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,HR Performance Data,Party,ASSOCIATE; ASSOCIATE_PERFORMANCE_REVIEW; ASSOCIATE_ASSIGNMENT
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,Customer Core Contact Details,Location,PARTY_CONTACT_POINT; ELECTRONIC_ADDRESS; POSTAL_ADDRESS; TELEPHONE_NUMBER
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,Master & Reference Data - geography / location,Location,GEOGRAPHICAL_AREA; GEOGRAPHICAL_UNIT; SITE; POSTAL_ADDRESS
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,Master & Reference Data - product,Product,Not mapped
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,Master & Reference Data - FTP rates,Product,INTEREST_RATE; INTEREST_RATE_INDEX; PRODUCT_INTEREST_RATE
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,Master & Reference Data - exchange rates,Product,CURRENCY; CURRENCY_EXCHANGE_RATE; CURRENCY_PAIR
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,"Product Revenue, Cost & Margin",Product,PRODUCT; PRODUCT_PRICING; PRODUCT_COST; AGREEMENT_SUMMARY
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,Product NPV's,Product,PRODUCT; PRODUCT_VALUATION; AGREEMENT_SUMMARY
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,External Data - market interest rates,Product,INTEREST_RATE_INDEX; INTEREST_RATE; MARKET_INDEX; MARKET_INDEX_VALUE
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,"External Data - market prices (E.g. equities, bonds, commodities)",Product,MARKET_INDEX; MARKET_INDEX_VALUE; INVESTMENT_PRODUCT; INVESTMENT_PRODUCT_PRICE
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,External Data - Competitor Product & Pricing,Party & Product,PRODUCT; MARKET_INDEX
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,Account / Policy / Service Holdings,Agreement,AGREEMENT; PARTY_AGREEMENT_ROLE; AGREEMENT_PARTY_ROLE; AGREEMENT_RELATIONSHIP
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,Account / Policy / Service Detail,Agreement,AGREEMENT; LOAN_TERM_AGREEMENT; DEPOSIT_AGREEMENT; INSURANCE_AGREEMENT; CREDIT_CARD_AGREEMENT
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,Account Status (open closed active / domant /inactive / closure reason ),Agreement,AGREEMENT; AGREEMENT_STATUS; AGREEMENT_STATUS_HISTORY
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,Account Terms & Conditions,Agreement,AGREEMENT; AGREEMENT_CONDITION; AGREEMENT_TERM
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,Account Feature Usage,Agreement,AGREEMENT_FEATURE; FEATURE; DESCRIPTIVE_FEATURE
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,"Application Data (New Customer, New Product)",Agreement,APPLICATION; APPLICATION_STATUS; APPLICATION_PARTY_ROLE
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,Coverage (insurance),Agreement,INSURANCE_COVERAGE; INSURANCE_AGREEMENT; COVERAGE_TYPE
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,Account Balances,Agreement,AGREEMENT_SUMMARY; BALANCE_SUMMARY; AGREEMENT_BALANCE
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,Investment Value,Agreement,INVESTMENT_ACCOUNT; INVESTMENT_HOLDING; INVESTMENT_PRODUCT_PRICE
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,Market / Trading Book Positions,Agreement,TRADE_ORDER; TRADE_EXECUTION; TRADING_POSITION
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,Mark to market valuations,Agreement,INVESTMENT_PRODUCT_PRICE; MARKET_INDEX_VALUE; AGREEMENT_VALUATION
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,Cashflow Projections,Agreement,AGREEMENT_CASHFLOW; CASHFLOW_SCHEDULE; AGREEMENT_SUMMARY
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,Account Maturity Dates & Repricing Schedules,Agreement,AGREEMENT; AGREEMENT_TERM; AGREEMENT_REPRICING_SCHEDULE
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,Account Repayment Schedules,Agreement,AGREEMENT_REPAYMENT_SCHEDULE; LOAN_TERM_AGREEMENT
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,Amortisation Schedules,Agreement,AGREEMENT_AMORTIZATION_SCHEDULE; LOAN_TERM_AGREEMENT
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,Customer Illustrations,Agreement,DOCUMENT; PARTY_DOCUMENT
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,Customer Quotes,Agreement,APPLICATION; QUOTE; DOCUMENT
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,Collateral Agreements,Agreement,COLLATERAL_AGREEMENT; COLLATERAL; COLLATERAL_VALUATION; PARTY_ASSET
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,Risk Exposures,Agreement,AGREEMENT_RISK_METRIC; RISK_EXPOSURE; CREDIT_RISK_SUMMARY
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,Risk Weighted Assets & Capital Results,Agreement,AGREEMENT_RISK_METRIC; BANK_CAPITAL_SUMMARY; CAPITAL_REQUIREMENTS_SUMMARY
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,Profitability Results,Agreement,AGREEMENT_SUMMARY; AGREEMENT_PROFITABILITY; PRODUCT_PROFITABILITY
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,Account Limits,Cross Subject  -  Limits,AGREEMENT_LIMIT; LIMIT; PARTY_LIMIT
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,Predictive Models - propensity to buy,Party or Agreement,ANALYTICAL_MODEL; MODEL_RUN; MODEL_SCORE; PARTY_MODEL_SCORE
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,Predictive Models - attrition,Party or Agreement,ANALYTICAL_MODEL; MODEL_RUN; MODEL_SCORE; PARTY_MODEL_SCORE
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,Predictive Models - price elasticity,Party or Agreement,ANALYTICAL_MODEL; MODEL_RUN; MODEL_SCORE
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,Attribution Models - response,Party or Agreement,ANALYTICAL_MODEL; MODEL_RUN; CAMPAIGN_RESPONSE
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,Lead Foodchain data,Party or Agreement,OPPORTUNITY; OPPORTUNITY_STATUS; OPPORTUNITY_PARTY_ROLE
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,Predictive Models - risk,Party or Agreement,ANALYTICAL_MODEL; MODEL_RUN; MODEL_SCORE; PARTY_LIABILITY_CREDIT_RATING
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,"Risk Segments, Cohorts & Groupings",Party or Agreement,PARTY_CLASSIFICATION; RISK_GRADE_VALUE; RISK_GRADE_SCHEME
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,"Provisions, Losses & Writeoffs",Party or Agreement,AGREEMENT_RISK_METRIC; PROVISION; WRITE_OFF; LOSS_EVENT
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,Financial Transactions,Event,MONETARY_TRANSACTION; TRANSACTION_TYPE; FINANCIAL_TRANSACTION; PAYMENT
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,"Account Fees, Commissions & Charges",Event,MONETARY_TRANSACTION; FEE_TRANSACTION; COMMISSION_TRANSACTION; AGREEMENT_FEE
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,Financial Interbank Payments,Event,PAYMENT; INTERBANK_PAYMENT; FINANCIAL_TRANSACTION
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,Non-Financial Transactions,Event,EVENT; NON_MONETARY_EVENT; DIRECT_CONTACT_EVENT
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,Service Usage,Event,CHANNEL_USAGE_METRIC; SERVICE_USAGE_EVENT; CHANNEL_INSTANCE
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,Complaint Data,Event,COMPLAINT; COMPLAINT_STATUS; COMPLAINT_RESOLUTION
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,Offline Customer Interactions - Branch,Event,DIRECT_CONTACT_EVENT; BRANCH_VISIT_EVENT; CHANNEL_INSTANCE
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,Offline Customer Interactions - Call Centre,Event,DIRECT_CONTACT_EVENT; CALL_EVENT; CHANNEL_INSTANCE
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,Offline Customer Interactions - letters,Event,DIRECT_CONTACT_EVENT; CORRESPONDENCE_EVENT; DOCUMENT
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,Offline Customer Interactions - sms text,Event,DIRECT_CONTACT_EVENT; SMS_EVENT; ELECTRONIC_ADDRESS
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,Online Interactions -  webchat (internal & external),Event,WEB_VISIT; WEB_PAGE_VIEW; ONLINE_INTERACTION_EVENT
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,Online Interactions colleague intranet,Event,WEB_VISIT; WEB_PAGE_VIEW
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,Online Interactions customer digital banking site (web log),Event,WEB_VISIT; WEB_PAGE_VIEW; EXTENDED_SESSION_INFORMATION; ONLINE_APPLICATION_ACCESS
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,Online Interactions customer general banking site,Event,WEB_VISIT; WEB_PAGE_VIEW; ONLINE_INTERACTION_EVENT
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,Online Interactions email - customer & employee,Event,DIRECT_CONTACT_EVENT; EMAIL_EVENT; ELECTRONIC_ADDRESS
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,Online Interactions mobile app,Event,WEB_VISIT; WEB_PAGE_VIEW; MOBILE_APP_EVENT; CHANNEL_INSTANCE
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,Online Interactions off-site - ad server,Event,AD; AD_PLACEMENT; AD_IMPRESSION; AD_CAMPAIGN_OBJECTIVE
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,Online Interactions prospect / unidentified customer (web log),Event,WEB_VISIT; WEB_PAGE_VIEW; VISITOR_INTERACTION_EVENT
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,"Case History (Fraud, Money Laundering, Complaint)",Event,CASE; CASE_EVENT; CASE_PARTY_ROLE; FRAUD_CASE
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,Claims,Event,CLAIM; CLAIM_STATUS; CLAIM_PARTY_ROLE; CLAIM_PAYMENT
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,Defaults & Limit Breaches,Event,AGREEMENT_STATUS; DEFAULT_EVENT; LIMIT_BREACH_EVENT; AGREEMENT_RISK_METRIC
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,Closed Loop Outcomes / Channel Responses,Event,CAMPAIGN_RESPONSE; CAMPAIGN_OFFER_RESPONSE; DIRECT_CONTACT_EVENT
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,External Data - Corporate Actions,Event,CORPORATE_ACTION; INVESTMENT_PRODUCT
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,Internal Process Activity Data,Event,EVENT; PROCESS_EVENT; OPERATIONAL_EVENT
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,Master & Reference Data - merchant / transaction,Event,MERCHANT; MERCHANT_CATEGORY; TRANSACTION_TYPE
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,Customer interview / fact find,Event or Cross Subject - Document,DOCUMENT; SURVEY; SURVEY_QUESTION_RESPONSE; PARTY_DOCUMENT
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,Physical Assets,Party Asset,PARTY_ASSET; FIXED_ASSET; REAL_PROPERTY
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,Physical Asset Valuations,Party Asset,PARTY_ASSET_VALUATION; COLLATERAL_VALUATION; REAL_PROPERTY_VALUATION
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,Master & Reference Data - organisation hierarchy,Internal Organisation,ORGANIZATION; INTERNAL_ORGANIZATION_UNIT; ORGANIZATION_UNIT_RELATIONSHIP; ORGANIZATION_BUSINESS_TYPE
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,"Operational metrics (E.g. Wait times, queue length)",Internal Organisation,CHANNEL_USAGE_METRIC; OPERATIONAL_EVENT; SERVICE_LEVEL_METRIC
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,Offer Catalogue,Campaign,OFFER; OFFER_TYPE; CAMPAIGN_OFFER; PRODUCT
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,Master & Reference Data - Campaign,Campaign,CAMPAIGN; CAMPAIGN_TYPE; CAMPAIGN_STATUS; CAMPAIGN_WAVE
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,Campaign Production Costs,Campaign,CAMPAIGN; CAMPAIGN_COST; CAMPAIGN_BUDGET
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,Campaign History Data,Campaign,CAMPAIGN; CAMPAIGN_RESPONSE; CAMPAIGN_OFFER_RESPONSE; CAMPAIGN_WAVE
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,Media Asset Details,Campaign,MEDIA_ASSET; DOCUMENT; DIGITAL_CONTENT
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,Campaign Promotional Calendar,Campaign,CAMPAIGN; CAMPAIGN_WAVE; CAMPAIGN_SCHEDULE
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,Master & Reference Data - Channel,Channel,CHANNEL_TYPE; CHANNEL_INSTANCE; CHANNEL_CLASSIFICATION
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,Finance Systems - General Ledger,Finance,Not mapped
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,Finance Systems - ERP,Finance,GL_ACCOUNT; GL_MAIN_ACCOUNT; VENDOR; VENDOR_INVOICE
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,"Finance Systems - Budgets, Plans & Forecasts",Finance,GL_ACCOUNT; BUDGET; FORECAST; FINANCIAL_PLAN
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,"Model Metadata (E.g. defintion, assumptions, metrics)",Analytical Model,ANALYTICAL_MODEL; MODEL_RUN; MODEL_PARAMETER
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,Risk Scenario & Stress Testing Results,Analytical Model,RISK_CALCULATION_SCENARIO; RISK_SCENARIO_RESULT; STRESS_TEST_RESULT
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,"Documents - Structured Data Capture (Survey, Application Forms)",Cross Subject - Document,DOCUMENT; DOCUMENT_TYPE; SURVEY; APPLICATION
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,Document Image,Cross Subject - Document,Not mapped
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,Text Data,Cross Subject - Document,DOCUMENT; TEXT_CONTENT; DIGITAL_CONTENT
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,External Data - News / Industry Feeds E.g. Reuters,Cross Subject - Document,DOCUMENT; NEWS_FEED; MARKET_INDEX
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,Master & Reference Data - Risk Policy Rules,Cross Subject - Document,RISK_GRADE_SCHEME; RISK_GRADE_VALUE; RISK_POLICY; BUSINESS_RULE
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,Customer Research - Primary & Secondary,Cross Subject - Survey,SURVEY; SURVEY_QUESTION_RESPONSE; PARTY_SURVEY_RESPONSE
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,Rich Media from all sources,Cross Subject - Multi-media object,DIGITAL_CONTENT; MEDIA_ASSET; DOCUMENT
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,Voice Recording,Cross Subject - Multi-media object,DIGITAL_CONTENT; CALL_RECORDING; DIRECT_CONTACT_EVENT
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,External Data - Fraud Watch Lists,Cross Subject - Watch List,WATCH_LIST; WATCH_LIST_ENTRY; PARTY_WATCH_LIST_CHECK
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,Compliance Approvals,Cross Subject,COMPLIANCE_EVENT; APPROVAL; PARTY_COMPLIANCE_VERIFICATION
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,Business Process Definition,Not Covered,EVENT; PROCESS_EVENT
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,External Data - External Loss Data,Not Covered,LOSS_EVENT; OPERATIONAL_LOSS_EVENT
Risk Management & Regulation,Execution & Delivery,Business Rules Directory,"System Log Files (E.g. Firewall, Webserver)",Not Covered,WEB_VISIT; SYSTEM_EVENT
Risk Management & Regulation,Execution & Delivery,Regulatory Threshold Calculation,Single Customer View (Master Record),Party,PARTY; INDIVIDUAL; ORGANIZATION; HOUSEHOLD; PARTY_RELATIONSHIP; PARTY_IDENTIFICATION
Risk Management & Regulation,Execution & Delivery,Regulatory Threshold Calculation,Customer Demographics,Party,INDIVIDUAL; PARTY_DEMOGRAPHIC; PARTY_CLASSIFICATION; PARTY_PREFERENCE
Risk Management & Regulation,Execution & Delivery,Regulatory Threshold Calculation,Customer Segments,Party,PARTY_CLASSIFICATION; PARTY_SEGMENT; PARTY_CLASSIFICATION_VALUE
Risk Management & Regulation,Execution & Delivery,Regulatory Threshold Calculation,Legal Actions,Party,PARTY_LEGAL_ACTION; LEGAL_ACTION; PARTY_LITIGATION
Risk Management & Regulation,Execution & Delivery,Regulatory Threshold Calculation,External Data - Bureau data,Party,PARTY_CREDIT_BUREAU_REPORT; CREDIT_BUREAU_SCORE; PARTY_EXTERNAL_RATING
Risk Management & Regulation,Execution & Delivery,Regulatory Threshold Calculation,External Data - Credit Rating,Party,PARTY_EXTERNAL_RATING; PARTY_LIABILITY_CREDIT_RATING; CREDIT_BUREAU_SCORE
Risk Management & Regulation,Execution & Delivery,Regulatory Threshold Calculation,Master & Reference Data - geography / location,Location,GEOGRAPHICAL_AREA; GEOGRAPHICAL_UNIT; SITE; POSTAL_ADDRESS
Risk Management & Regulation,Execution & Delivery,Regulatory Threshold Calculation,Master & Reference Data - product,Product,Not mapped
Risk Management & Regulation,Execution & Delivery,Regulatory Threshold Calculation,Master & Reference Data - exchange rates,Product,CURRENCY; CURRENCY_EXCHANGE_RATE; CURRENCY_PAIR
Risk Management & Regulation,Execution & Delivery,Regulatory Threshold Calculation,"External Data - market prices (E.g. equities, bonds, commodities)",Product,MARKET_INDEX; MARKET_INDEX_VALUE; INVESTMENT_PRODUCT; INVESTMENT_PRODUCT_PRICE
Risk Management & Regulation,Execution & Delivery,Regulatory Threshold Calculation,Account / Policy / Service Holdings,Agreement,AGREEMENT; PARTY_AGREEMENT_ROLE; AGREEMENT_PARTY_ROLE; AGREEMENT_RELATIONSHIP
Risk Management & Regulation,Execution & Delivery,Regulatory Threshold Calculation,Account / Policy / Service Detail,Agreement,AGREEMENT; LOAN_TERM_AGREEMENT; DEPOSIT_AGREEMENT; INSURANCE_AGREEMENT; CREDIT_CARD_AGREEMENT
Risk Management & Regulation,Execution & Delivery,Regulatory Threshold Calculation,Account Status (open closed active / domant /inactive / closure reason ),Agreement,AGREEMENT; AGREEMENT_STATUS; AGREEMENT_STATUS_HISTORY
Risk Management & Regulation,Execution & Delivery,Regulatory Threshold Calculation,Account Terms & Conditions,Agreement,AGREEMENT; AGREEMENT_CONDITION; AGREEMENT_TERM
Risk Management & Regulation,Execution & Delivery,Regulatory Threshold Calculation,Coverage (insurance),Agreement,INSURANCE_COVERAGE; INSURANCE_AGREEMENT; COVERAGE_TYPE
Risk Management & Regulation,Execution & Delivery,Regulatory Threshold Calculation,Account Balances,Agreement,AGREEMENT_SUMMARY; BALANCE_SUMMARY; AGREEMENT_BALANCE
