FSDM_Entity,Subject_Area,Capabilities_Supported,Reuse_Score,Priority_Tier
STRESS_TEST_RESULT,Risk Management,45,0.402,P2-High
DIGITAL_CONTENT,Unknown,44,0.393,P2-High
PARTY_IDENTITY_DOCUMENT,Unknown,43,0.384,P2-High
PRODUCT,Product Management,43,0.384,P2-High
DOCUMENT_TYPE,Other,43,0.384,P2-High
CAMPAIGN_TYPE,Campaign/Marketing,43,0.384,P2-High
CAMPAIGN_STATUS,Campaign/Marketing,43,0.384,P2-High
MODEL_PARAMETER,Unknown,43,0.384,P2-High
VISITOR_INTERACTION_EVENT,Event Management,42,0.375,P2-High
PARTY_CREDIT_BUREAU_REPORT,Unknown,42,0.375,P2-High
AD,Other,42,0.375,P2-High
AD_PLACEMENT,Campaign/Marketing,42,0.375,P2-High
AD_IMPRESSION,Unknown,42,0.375,P2-High
AD_CAMPAIGN_OBJECTIVE,Campaign/Marketing,42,0.375,P2-High
PERFORMANCE_METRIC,Unknown,41,0.366,P2-High
PERFORMANCE_TARGET,Unknown,41,0.366,P2-High
ORGANIZATION_PERFORMANCE,Unknown,41,0.366,P2-High
ASSOCIATE,Party Management,41,0.366,P2-High
ASSOCIATE_ASSIGNMENT,Unknown,41,0.366,P2-High
PARTY_MODEL_SCORE,Unknown,40,0.357,P2-High
SOCIAL_MEDIA_ACCOUNT,Unknown,39,0.348,P3-Medium
SOCIAL_MEDIA_TRANSFER,Financial Transaction,39,0.348,P3-Medium
SOCIAL_MEDIA_POST,Channel Management,39,0.348,P3-Medium
NON_MONETARY_EVENT,Unknown,39,0.348,P3-Medium
QUOTE,Unknown,39,0.348,P3-Medium
INTEREST_RATE,Unknown,39,0.348,P3-Medium
INTEREST_RATE_INDEX,Other,39,0.348,P3-Medium
INTERBANK_PAYMENT,Unknown,39,0.348,P3-Medium
AGREEMENT_PROFITABILITY,Unknown,38,0.339,P3-Medium
PRODUCT_PROFITABILITY,Unknown,38,0.339,P3-Medium
TEXT_CONTENT,Unknown,37,0.33,P3-Medium
GL_ACCOUNT,Unknown,37,0.33,P3-Medium
PRODUCT_INTEREST_RATE,Unknown,37,0.33,P3-Medium
GL_MAIN_ACCOUNT,Agreement/Account,36,0.321,P3-Medium
VENDOR,Other,36,0.321,P3-Medium
VENDOR_INVOICE,Unknown,36,0.321,P3-Medium
AGREEMENT_AMORTIZATION_SCHEDULE,Unknown,36,0.321,P3-Medium
MERCHANT,Unknown,34,0.304,P3-Medium
MERCHANT_CATEGORY,Unknown,34,0.304,P3-Medium
NEWS_FEED,Unknown,33,0.295,P3-Medium
PRODUCT_PRICING,Unknown,33,0.295,P3-Medium
PRODUCT_COST,Product Management,33,0.295,P3-Medium
ECONOMIC_INDEX,Unknown,33,0.295,P3-Medium
ECONOMIC_INDEX_VALUE,Unknown,33,0.295,P3-Medium
AGREEMENT_CASHFLOW,Unknown,32,0.286,P3-Medium
CASHFLOW_SCHEDULE,Unknown,32,0.286,P3-Medium
TELEPHONE_NUMBER,Party Management,31,0.277,P3-Medium
PRODUCT_VALUATION,Unknown,31,0.277,P3-Medium
PROSPECT,Unknown,30,0.268,P3-Medium
PARTY_LIST,Unknown,30,0.268,P3-Medium
PARTY_LIST_MEMBERSHIP,Unknown,30,0.268,P3-Medium
CORPORATE_ACTION,Unknown,29,0.259,P3-Medium
OPPORTUNITY,Campaign/Marketing,29,0.259,P3-Medium
OPPORTUNITY_STATUS,Campaign/Marketing,29,0.259,P3-Medium
OPPORTUNITY_PARTY_ROLE,Unknown,29,0.259,P3-Medium
ASSOCIATE_PERFORMANCE_REVIEW,Unknown,28,0.25,P3-Medium
WATCH_LIST,Other,25,0.223,P3-Medium
WATCH_LIST_ENTRY,Unknown,25,0.223,P3-Medium
PARTY_WATCH_LIST_CHECK,Unknown,25,0.223,P3-Medium
COMPLIANCE_EVENT,Unknown,24,0.214,P3-Medium
APPROVAL,Unknown,24,0.214,P3-Medium
BANK_CAPITAL_SUMMARY,Risk Management,24,0.214,P3-Medium
CAPITAL_REQUIREMENTS_SUMMARY,Risk Management,24,0.214,P3-Medium
BUDGET,Unknown,23,0.205,P3-Medium
FORECAST,Unknown,23,0.205,P3-Medium
FINANCIAL_PLAN,Other,23,0.205,P3-Medium
CAMPAIGN_COST,Campaign/Marketing,18,0.161,P4-Low
CAMPAIGN_BUDGET,Unknown,18,0.161,P4-Low
CALL_RECORDING,Unknown,17,0.152,P4-Low
CAMPAIGN_SCHEDULE,Unknown,17,0.152,P4-Low
OPERATIONAL_LOSS_EVENT,Unknown,16,0.143,P4-Low
OFFER,Campaign/Marketing,16,0.143,P4-Low
OFFER_TYPE,Campaign/Marketing,16,0.143,P4-Low
CAMPAIGN_OFFER,Unknown,16,0.143,P4-Low
SERVICE_LEVEL_METRIC,Unknown,15,0.134,P4-Low
SYSTEM_EVENT,Unknown,14,0.125,P4-Low
MEDIA_ASSET,Unknown,13,0.116,P4-Low
