"Parent","Child","Cardinality","FK_Columns","Relationship_Name"
"BASEL DEFAULT STATUS PARAMETER","INTEREST RATE BANKING BOOK SUMMARY","1:M","Basel II Function Cd","BASEL DEFAULT STATUS PARAMETER -> INTEREST RATE BANKING BOOK SUMMARY"
"BENEFIT PLAN ELIGIBILITY TERM TYPE","BENEFIT PLAN OPTION ELIGIBILITY","1:M","Benefit Plan Eligibility Term Cd","BENEFIT PLAN ELIGIBILITY TERM TYPE -> BENEFIT PLAN OPTION ELIGIBILITY"
"BENEFIT PLAN OPTION ELIGIBILITY","BENEFIT PLAN OPTION POSITION","1:M","Benefit Plan Id; Benefit Plan Option Id","BENEFIT PLAN OPTION ELIGIBILITY -> BENEFIT PLAN OPTION POSITION"
"BENEFIT PLAN OPTION POSITION","ASSOCIATE POSITION STATUS","1:M","Position Id","BENEFIT PLAN OPTION POSITION -> ASSOCIATE POSITION STATUS"
"BENEFIT PLAN OPTION STATUS TYPE","BENEFIT PLAN OPTION","1:M","Benefit Plan Option Status Cd","BENEFIT PLAN OPTION STATUS TYPE -> BENEFIT PLAN OPTION"
"BUSINESS","BUSINESS CATEGORY","1:M","Business Legal Class Cd","BUSINESS -> BUSINESS CATEGORY"
"CAMPAIGN AGREEMENT ROLE TYPE","CAMPAIGN AGREEMENT","1:M","Campaign Agreement Role Cd","CAMPAIGN AGREEMENT ROLE TYPE -> CAMPAIGN AGREEMENT"
"CAMPAIGN COLLATERAL","COMMUNICATION COLLATERAL","1:M","Communication Collateral Version Num","CAMPAIGN COLLATERAL -> COMMUNICATION COLLATERAL"
"CHANNEL CHANNEL CLASS XREF","CHANNEL CLASS SCHEME TYPE","1:M","Party Classification Cd","CHANNEL CHANNEL CLASS XREF -> CHANNEL CLASS SCHEME TYPE"
"CHANNEL CHANNEL CLASS XREF","CHANNEL CLASS VALUE","1:M","Party Classification Cd","CHANNEL CHANNEL CLASS XREF -> CHANNEL CLASS VALUE"
"CHECK TRANSACTION TYPE","HOME BANK CHECK IMAGE","1:M","Check Transaction Type Cd","CHECK TRANSACTION TYPE -> HOME BANK CHECK IMAGE"
"COLLATERAL AGREEMENT COVERAGE","RISK MITIGANT AGREEMENT ITEM","1:M","Risk Mitigant Agreement Item Start Dt","COLLATERAL AGREEMENT COVERAGE -> RISK MITIGANT AGREEMENT ITEM"
"COMMUNICATION COLLATERAL TYPE","COMMUNICATION COLLATERAL","1:M","Communication Collateral Type Cd","COMMUNICATION COLLATERAL TYPE -> COMMUNICATION COLLATERAL"
"CONVERTIBLE BOND","BOND CONVERSION STYLE TYPE","1:M","Conversion Type ID","CONVERTIBLE BOND -> BOND CONVERSION STYLE TYPE"
"COURSE FEEDBACK RESPONSE","COURSE SCHEDULED","1:M","Training Course Id","COURSE FEEDBACK RESPONSE -> COURSE SCHEDULED"
