"Entity","Attribute","DataType","PK","FK","Nullable","Description"
"FIXED ASSET AMOUNT TYPE","Fixed Asset Amount Type Cd","N/A (LDM)","Y","","","The code for the FIXED ASSET AMOUNT TYPE.  Examples: - Historical cost - Gain on disposal - Loss on disposal - Rental income - Capital appreciation - Impairment loss - Refurbishment cost - Present value minimum lease payments - Salvage value - Predicted salvage value - Original cost - Adjusted cost - Depreciation amount - Fair value"
"FIXED ASSET AMOUNT TYPE","Fixed Asset Amount Type Desc","N/A (LDM)","","","","The description for the FIXED ASSET AMOUNT TYPE."
"FIXED ASSET BOOK","","N/A (LDM)","","","","This entity is a book or collection of assets, along with a record of the transactions performed on those assets, including addition, and depreciation."
"FIXED ASSET GROUP","Fixed Asset Group Id","N/A (LDM)","Y","","","Fixed Asset Group Id is assigned to identify a unique asset collection."
"FIXED ASSET GROUP","Fixed Asset Group Desc","N/A (LDM)","","","","The description for the FIXED ASSET GROUP."
"FIXED ASSET GROUP","Fixed Asset Group Name","N/A (LDM)","","","","The name for the FIXED ASSET GROUP."
"FIXED ASSET GROUP XREF","Fixed Asset Group Start Dttm","N/A (LDM)","Y","","","The date and time the FIXED ASSET GROUP assignment started."
"FIXED ASSET GROUP XREF","Fixed Asset Group End Dttm","N/A (LDM)","","","","The date and time the FIXED ASSET GROUP assignment ended."
"FIXED ASSET IDENTIFICATION","Fixed Asset Identification Start Dttm","N/A (LDM)","Y","","","The date and time a FIXED ASSET IDENTIFICATION started."
"FIXED ASSET IDENTIFICATION","Fixed Asset Identification End Dttm","N/A (LDM)","","","","The date and time a FIXED ASSET IDENTIFICATION ended."
"FIXED ASSET IDENTIFICATION","Fixed Asset Identification Num","N/A (LDM)","","","","Holds the number assigned to the FIXED ASSET IDENTIFICATION.  Examples are serial number or asset tag ID number."
"FIXED ASSET IDENTIFICATION TYPE","Fixed Asset Identification Type Cd","N/A (LDM)","Y","","","The code assigned to a FIXED ASSET IDENTIFICATION TYPE.  Examples are asset ID tags and serial numbers."
"FIXED ASSET IDENTIFICATION TYPE","Fixed Asset Identification Type Desc","N/A (LDM)","","","","Describes a FIXED ASSET IDENTIFICATION TYPE."
"FIXED ASSET OWNERSHIP TYPE","Fixed Asset Ownership Type Cd","N/A (LDM)","Y","","","The code assigned to the FIXED ASSET OWNERSHIP TYPE.  Examples: - Purchased - Leased - capital lease - Reclassified from owner-occupied to investment property - Investment property under finance lease - Investment property owned"
"FIXED ASSET OWNERSHIP TYPE","Fixed Asset Ownership Type Desc","N/A (LDM)","","","","The description of the FIXED ASSET OWNERSHIP TYPE."
"FIXED ASSET PO","Vendor PO Line Num","N/A (LDM)","Y","","",""
"FIXED ASSET STATUS","Fixed Asset Status Start Dttm","N/A (LDM)","Y","","","The date and time a FIXED ASSET STATUS was assigned to a Fixed Asset Id."
"FIXED ASSET STATUS","Fixed Asset Status End Dttm","N/A (LDM)","","","","The date and time a FIXED ASSET STATUS was assigned to a Fixed Asset Id ended."
"FIXED ASSET STATUS","Fixed Asset Status Party Id","N/A (LDM)","Y","","","The unique identifier for any individual or group of individuals that is of interest to the enterprise.  In this context, this is the party who assigned the status to the FIXED ASSET."
"FIXED ASSET STATUS TYPE","Fixed Asset Status Type Cd","N/A (LDM)","Y","","","The code assigned to a FIXED ASSET STATUS TYPE.  Examples are  - In use - Retired - Idle - In repair - Disposal - withdrawn from use - Disposal - sale - Disposal - finance lease to 3rd party"
"FIXED ASSET STATUS TYPE","Fixed Asset Status Type Desc","N/A (LDM)","","","","The description of the FIXED ASSET STATUS TYPE."
"FIXED ASSET TYPE","Fixed Asset Type Cd","N/A (LDM)","Y","","","The code assigned to a FIXED ASSET TYPE like depreciable asset or nondepreciable asset."
"FIXED ASSET TYPE","Fixed Asset Type Desc","N/A (LDM)","","","","The description for the FIXED ASSET TYPE."
"FIXED FIXED INTEREST RATE SWAP","","N/A (LDM)","","","","This is a type of interest rate swap where a fixed interest rate is exchanged for another fixed interest rate.   Example: - Party P pays/receives fixed interest in currency A to receive/pay fixed rate in currency B for a term of T years. For example, you pay JPY 1.6% on a JPY notional of 1.2 billion and receive USD 5.36% on the USD equivalent notional of 10 million at an initial exchange rate of USDJPY 120."
"FIXED FLOATING INTEREST RATE SWAP","Swap Floating Rate Index Cd","N/A (LDM)","Y","","",""
"FIXED FLOATING INTEREST RATE SWAP","Swap Float First Reset Rate","N/A (LDM)","","","","The first floating rate applied to the swap."
"FIXED FLOATING INTEREST RATE SWAP","Floating Rate First Reset Rate","N/A (LDM)","","","",""
"FIXED FLOATING INTEREST RATE SWAP","Swap Fixed Rate","N/A (LDM)","","","","The fixed interest rate for this swap."
"FIXED FLOATING INTEREST RATE SWAP","Fixed Rate","N/A (LDM)","","","",""
"FIXED INCOME INTEREST PAYMENT","Fixed Income Interest Payment Amt","N/A (LDM)","Y","","","The amount of interest being paid."
"FIXED INCOME INTEREST PAYMENT","Fixed Income Payment Dt","N/A (LDM)","","","","The date the interest will be paid."
"FIXED INCOME INTEREST PAYMENT","Payment Agent Party Id","N/A (LDM)","Y","","","This is the unique identifier for any individual or group of individuals that is of interest to the enterprise.  In this context, this is the agent who accepts payment from the issuer of the security also known as a disbursing agent. A bank is usually the paying agent designated on behalf of the issuer."
"FIXED INTEREST RATE FEATURE","Fixed Interest Rate","N/A (LDM)","Y","","","The fixed rate that the customer sees. The periodicity of this rate (e.g., daily, or annual) is expressed in the Time Period Cd attribute."
"FLASH VERSION TYPE","Flash Version Num","N/A (LDM)","Y","","","This code captures information regarding available flash versions for use by the browser.  Examples: - Shockwave Flash 2.0 - Shockwave Flash 3.0 - Shockwave Flash PM - Shockwave Flash PPC - FlashPix - Learn2.com"
"FLASH VERSION TYPE","Flash Version Desc","N/A (LDM)","","","","This is a description of the code."
"FLOAT FLOAT INTEREST RATE SWAP","","N/A (LDM)","","","","This is a type of interest rate swap where a floating interest rate is exchanged for a fixed interest rate."
"FLOATING RATE NOTE","Floating Note Floor Rate","N/A (LDM)","Y","","","The lowest interest rate this instrument can pay."
"FLOATING RATE NOTE","Floor Rate","N/A (LDM)","","","",""
"FLOATING RATE NOTE","Floating Note Spread Rate","N/A (LDM)","","","","If the interest on the bond is a spread from an index then this is the spread rate."
"FLOATING RATE NOTE","Floating Note Cap Rate","N/A (LDM)","","","","The maximum rate that this instrument can pay."
"FLOATING RATE NOTE","Cap Rate","N/A (LDM)","","","",""
"FLOATING RATE NOTE","Floating Note Rate Basis Rate","N/A (LDM)","","","","This is used to determine the compounding method for the index rate."
"FLOATING RATE NOTE","Rate Basis","N/A (LDM)","","","",""
"FLOATING RATE NOTE","Floating Note First Reset Rate","N/A (LDM)","","","","This is a floating rate set on the previous reset date. It is the first or initial rate used to calculate the first period ending coupon payment."
"FLOATING RATE NOTE","First Reset Rate","N/A (LDM)","","","",""
"FLOATING RATE NOTE","Floating Note Time Period Cd","N/A (LDM)","","","","A code for a time period such as once, daily, weekly, or monthly.  In this context, this is the frequency of when the coupon rate is reset in times per year."
"FOREIGN CURRENCY ADJUSTMENT ACCOUNT","","N/A (LDM)","","","","The entity that identifies a NONDIVIDEND EQUITY ACCOUNT as a foreign currency adjustment. Foreign currency adjustments are the gains or losses resulting from a translation of one currency into another."
"FOREIGN EXCHANGE AGREEMENT","Nostro Account Num","N/A (LDM)","Y","","","This is the account number for the nostro account at the other bank if the money was obtained from an account your bank has with another bank."
"FOREIGN EXCHANGE AGREEMENT","Sell Currency Present Value Amt","N/A (LDM)","","","","Present value of the foreign exchange instrument in terms of sell currency."
"FOREIGN EXCHANGE AGREEMENT","Buy Compound Frequency Cd","N/A (LDM)","","","","A code for a time period such as once, daily, weekly, or monthly.  In this context, this is the compounding frequency for the buy currency."
"FOREIGN EXCHANGE AGREEMENT","Sell Compound Frequency Cd","N/A (LDM)","","","","A code for a time period such as once, daily, weekly, or monthly.  In this context, this is the compounding frequency for the sell currency."
"FOREIGN EXCHANGE AGREEMENT","Buy Currency Day Basis Cd","N/A (LDM)","","","",""
"FOREIGN EXCHANGE AGREEMENT","Sell Currency Day Basis Cd","N/A (LDM)","","","",""
"FOREIGN EXCHANGE AGREEMENT","Source Currency Cd","N/A (LDM)","","","","The code for the currency.   Examples:  - U.S. dollars  - Canadian dollars  - Japanese yen  In this context, this is the currency that is being exchanged from."
"FOREIGN EXCHANGE AGREEMENT","Destination Currency Cd","N/A (LDM)","","","","The code for the currency.   Examples:  - U.S. dollars  - Canadian dollars  - Japanese yen  In this context, this is the currency that is being exchanged to."
"FOREIGN EXCHANGE EVENT","","N/A (LDM)","","","","This entity contains the destination currency for a foreign exchange event. The source currency is in INVESTMENT PRODUCT EVENT."
"FOREIGN EXCHANGE METRIC","Quoting Party Id","N/A (LDM)","Y","","","The unique identifier for any individual or group of individuals that is of interest to the enterprise.  In this context, this is the organization reporting the metric."
"FOREIGN EXCHANGE METRIC","Market Quotation Metric Type Cd","N/A (LDM)","","","",""
"FOREIGN EXCHANGE METRIC","Investment Product Metric Type Cd","N/A (LDM)","","","",""
"FOREIGN EXCHANGE METRIC","Foreign Exchange Metric Report Dttm","N/A (LDM)","","","","The date and time this metric was reported."
"FOREIGN EXCHANGE METRIC","Foreign Exchange Metric Amt","N/A (LDM)","","","","The metric expressed as an amount.  Examples: - Last bid price - Last ask price"
"FOREIGN EXCHANGE METRIC","Foreign Exchange Metric Rate","N/A (LDM)","","","","The metric expressed as a rate.  Examples: - Beta (correlation with benchmark index for volatility) - Average analyst rating"
"FOREIGN EXCHANGE METRIC","Foreign Exchange Metric Volatility Ind","N/A (LDM)","","","","Indicates that this is a volatility quote."
"FOREIGN EXCHANGE METRIC","Source Currency Cd","N/A (LDM)","","","",""
"FOREIGN EXCHANGE METRIC","Target Currency Cd","N/A (LDM)","","","",""
"FOREIGN EXCHANGE POINT","Calculated Market Ind","N/A (LDM)","Y","","","Indicates whether the values are market values or calculated values."
"FOREIGN EXCHANGE POINT TENOR TYPE","","N/A (LDM)","","","","The code for the type of length of time for foreign exchange points.   Examples: - 0 = Relative - 1 = Spot - 2 = Today - 3 = Tomorrow - 4 = Month end - 5 = Year end"
"FORM FIELD","Form Field Id","N/A (LDM)","Y","","","Unique identifier for a form field."
"FORM FIELD","Form Field Name","N/A (LDM)","","","","Name of the field on the form.  Form field name (or ID if so configured) of the field interacted with (name as per html)."
"FORM FIELD","Form Field Desc","N/A (LDM)","","","","Text description of the field on the form."
"FORM FIELD EVENT","Form Field Event Start Dttm","N/A (LDM)","Y","","","Time visitor starting filling out this field.  Attempt start timestamp, within which this field was changed/populated/submitted."
"FORM FIELD EVENT","Form Field Event Field Change Dttm","N/A (LDM)","","","",""
"FORM FIELD EVENT","Form Field Event Change Indicator Cnt","N/A (LDM)","","","","The number of changes to the field during the attempt, before the final value was set."
"FORM FIELD EVENT","Form Field Event Last Changed Ind","N/A (LDM)","","","","If this field was the last field changed/used is populated with 'Y,' otherwise, 'N.'"
"FORM FIELD EVENT","Form Field Event Furthest Ind","N/A (LDM)","","","","If this field was the furthest field linearly down the form changed/used is populated with 'Y,' otherwise, 'N.'"
"FORM FIELD EVENT","Form Field Event Final Val","N/A (LDM)","","","","The final value of the field at attempt end."
"FORM FIELD EVENT","Form Field Event Index Cnt","N/A (LDM)","","","","Index within the given form sequence - essentially an attempt count (starting at 1 for the first attempt)."
"FORM FIELD EVENT","Form Field Event Sequence Index Cnt","N/A (LDM)","","","","Integer sequence index, 1 for the first sequence on this form, 2 for the second and so on."
"FORM OF PAYMENT TYPE","Form Of Payment Type Cd","N/A (LDM)","Y","","","This is a code that describes how a party is compensated such as cash, securities, or barter."
"FORM OF PAYMENT TYPE","Form Of Payment Type Desc","N/A (LDM)","","","","This is a description of the code."
"FORM STATUS","Form Status Start Dttm","N/A (LDM)","Y","","","Timestamp of form status effective start date."
"FORM STATUS","Form Status End Dttm","N/A (LDM)","","","","Timestamp of form status effective end date."
"FORM STATUS TYPE","Form Status Type Cd","N/A (LDM)","Y","","","Unique identifier for forms status."
"FORM STATUS TYPE","Form Status Desc","N/A (LDM)","","","","Text description of the forms status.  Examples:  - 'Success'  - 'Abandon'"
"FORMALITY TYPE","Formality Type Cd","N/A (LDM)","Y","","","A classification of the type of agreement formality where the agreement conditions are formal (signed) or informally agreed to verbally."
"FORMALITY TYPE","Formality Type Desc","N/A (LDM)","","","","A description of the code."
"FORWARD CONTRACT","Forward Underlying Product Id","N/A (LDM)","Y","","","The unique identifier for an account."
"FORWARD CONTRACT","Forward Contract Qty","N/A (LDM)","","","","The number of units of this contract."
"FORWARD CONTRACT","Contract Quantity","N/A (LDM)","","","",""
"FORWARD CONTRACT","Forward Price Amt","N/A (LDM)","","","","The agreed amount to be paid in the future."
"FORWARD CONTRACT","Forward Price","N/A (LDM)","","","",""
"FORWARD CONTRACT","Forward Value Dt","N/A (LDM)","","","","The date used to determine the value of the underlying product."
"FORWARD CONTRACT","Value Date","N/A (LDM)","","","",""
"FORWARD CONTRACT","Forward Settlement Dttm","N/A (LDM)","","","","The date and time on which the underlier and payment will be exchanged."
"FORWARD CONTRACT","Settlement Date","N/A (LDM)","","","",""
"FORWARD CONTRACT","Forward Outright Ind","N/A (LDM)","","","","Indicates whether this forward agreement has a corresponding spot market purchase (separate agreement) as in the case of currency spot agreements.   1 = has a corresponding spot agreement 2 = does not have a corresponding spot agreement  This could be derived from relating one agreement to another."
"FORWARD CONTRACT","Contract Settlement Type ID","N/A (LDM)","","","",""
"FORWARD CONTRACT","Forward Long Party Id","N/A (LDM)","","","","The unique identifier for any individual or group of individuals that is of interest to the enterprise. The party agreeing to buy the underlying asset in the future assumes a long position, and the party agreeing to sell the asset in the future assumes a short position."
"FORWARD CONTRACT","Forward Short Party Id","N/A (LDM)","","","","The unique identifier for any individual or group of individuals that is of interest to the enterprise. The party agreeing to buy the underlying asset in the future assumes a long position, and the party agreeing to sell the asset in the future assumes a short position."
"FORWARD RATE AGREEMENT","Spot Date","N/A (LDM)","Y","","","The date the reference rate is set."
"FORWARD RATE AGREEMENT","Settlement Date","N/A (LDM)","","","","FRA Settlement Dt"
"FORWARD RATE AGREEMENT","Notional Amount","N/A (LDM)","","","","FRA Notional Amt"
"FORWARD RATE AGREEMENT","Fixed Interest Rate","N/A (LDM)","","","","FRA Fixed Interest Rate"
"FORWARD START OPTION","","N/A (LDM)","","","","A forward start option is an option that commences at some specified future date with an expiration date further in the future. It is essentially a forward on an option, only the premium is paid in advance. Since the asset price at the start of this option is not known a priori, it is common to specify that the strike price will be set in the future so that the option is initially at the money or a certain percentage in the money or out of the money. This contract can be used to give an investor"
"FORWARD SUBTYPE","Forward Subtype Cd","N/A (LDM)","Y","","","This minor entity describes if this is a currency type of forward contract."
"FORWARD SUBTYPE","Forward Subtype Desc","N/A (LDM)","","","","A description of the code."
"FREIGHT TERM TYPE","Freight Term Type Cd","N/A (LDM)","Y","","","The code associated with a FREIGHT TERM TYPE.  Examples of freight terms are FOB (Free On Board) Destination, which indicates the supplier pays shipping costs from the point of manufacture to a specified destination, at which point the buyer takes responsibility."
"FREIGHT TERM TYPE","Freight Term Type Desc","N/A (LDM)","","","","Description associated with a FREIGHT TERM TYPE Code."
"FREIGHT TERM TYPE INVOICE XREF","","N/A (LDM)","","","","This entity provides a cross reference of freight term types to invoices."
"FUNCTION TYPE","Function Cd","N/A (LDM)","Y","","","The code for the function that an organization work group can perform. Examples for general function would be, identifies market, conducts survey, prices product, and creates marketing material. For insurance, functions would be underwriting, claim processing, or adjudication."
"FUNCTION TYPE","Function Desc","N/A (LDM)","","","","The description for the code."
"FUND SOURCE TYPE","Fund Source Type Cd","N/A (LDM)","Y","","","The unique code for the type of source that provided the funds or agreement for the account such as cash, other bank's check, transferred from an existing account, and refinance."
"FUND SOURCE TYPE","Fund Source Type Desc","N/A (LDM)","","","","The description of the source fund."
"FUND TYPE","Fund Type Cd","N/A (LDM)","Y","","","A code for the classification of funds such as equity fund, mid cap fund, large cap fund, growth fund, value fund, index fund, bond fund, money market fund, hedge fund, fund of funds, balanced fund, clone fund, capital appreciation fund, and crossover fund."
"FUND TYPE","Fund Type Desc","N/A (LDM)","","","","A description of the code."
"FUNDING AMOUNT TYPE","Funding Amount Type Cd","N/A (LDM)","Y","","","A code for the type of amount being funded such as deposit, loan down payment, and capital markets buy order."
"FUNDING AMOUNT TYPE","Funding Amount Type Desc","N/A (LDM)","","","","A description of the code."
"FUNDING STRATEGY","","N/A (LDM)","","","","The strategy for dealing with funding risk."
"FUNDS TRANSFER EVENT","Funds Transfer Host Num","N/A (LDM)","Y","","","This number must be unique within the sender/receiver relationship. The number is assigned by the sender. For example, if a payment is made by check, this number could be the check number."
"FUNDS TRANSFER EVENT","Funds Transfer Effective Dt","N/A (LDM)","","","","The date the money entered or left the account."
"FUNDS TRANSFER EVENT","Funds Transfer Reference Num","N/A (LDM)","","","","For AR INVOICE LINE RECEIPT payments, the customer's reference number to this FUNDS TRANSFER EVENT, for example, the customer's Purchase Order number.  For AP INVOICE LINE PAYMENTs, the vendor's reference number to this FUNDS TRANSFER EVENT. For example, the vendor's Sales Order number."
"FUNDS TRANSFER METHOD TYPE","Funds Transfer Method Type Cd","N/A (LDM)","Y","","","This contains list of methods for making funds transfers such as lockbox, paper check, wire transfer, or automated clearinghouse."
"FUNDS TRANSFER METHOD TYPE","Funds Transfer Method Type Desc","N/A (LDM)","","","","This is a description of the code."
"FUNDS TRANSFER TYPE","Funds Transfer Type Cd","N/A (LDM)","Y","","","Classifies a funds transfer as pertaining to an INVOICE or other type.  Other payment types could include shopping transactions, or to fulfill the terms and conditions of any contracts that exist between the company and its PARTYs & channels."
"FUNDS TRANSFER TYPE","Funds Transfer Type Desc","N/A (LDM)","","","","A description of the code."
"FUNDS TRANSFER TYPE","Insurance (all LOB)","N/A (LDM)","","","","This entity contains intended actions for follow up on a claim, such as sending a replacement vehicle or assessing the damage. The actual actions are instances of EVENT."
"FUNDS TRANSFER TYPE","Claim Follow-up Id","N/A (LDM)","","","","The unique identifier of the claim follow-up."
"FUNDS TRANSFER TYPE","Follow-up Channel Type Cd","N/A (LDM)","","","","A code for the type of channel such as ATM, employee workstation, point of sale terminal, electronic voice response unit, and personal computer (home banking).   In this context, this is the type of channel for this intended follow-up action on a claim."
"FUNDS TRANSFER TYPE","Follow-up Party Id","N/A (LDM)","","","","The unique identifier for any individual or group of individuals that is of interest to the enterprise.  In this context, this is the party for this intended follow-up action on a claim."
"FUNDS TRANSFER TYPE","Claim Follow-up Type Cd","N/A (LDM)","","","","The codes for the type of follow-up of a claim such as send a replacement vehicle, assess the damage, or verify the claim.  In this context, this is the intended follow-up type on a claim."
"FUNDS TRANSFER TYPE","Claim Follow-up Dt","N/A (LDM)","","","","The date of the intended actions for follow up on a claim."
"FUNDS TRANSFER TYPE","Claim Follow-up Tm","N/A (LDM)","","","","The time of the intended actions for follow-up on a claim."
"FUTURE TYPE","Future Type Cd","N/A (LDM)","Y","","","The unique code that provides a classification for future types of investment products such as commodity, equity, currency, and bond."
"FUTURE TYPE","Future Type Desc","N/A (LDM)","","","","A description of the code."
"FUTURES AGREEMENT","Contract Settlement Type ID","N/A (LDM)","Y","","",""
"FUTURES CONTRACT PRODUCT","Futures Underlying Product Id","N/A (LDM)","Y","","","The unique identifier for a marketable product that you or your competitor offers that you are interested in tracking.   In this context, this is the underlying instrument that is the subject of the future."
"FUTURES CONTRACT PRODUCT","Futures Deliver Month Num","N/A (LDM)","","","","The number of the month for the delivery of the goods."
"FUTURES CONTRACT PRODUCT","Futures Expiration Dt","N/A (LDM)","","","","The date when the instrument expires."
"FUTURES CONTRACT PRODUCT","Futures Contract Size Cnt","N/A (LDM)","","","","The number of units being sold for each contract."
"FUTURES CONTRACT PRODUCT","Future Contract Cnt","N/A (LDM)","","","","The number of contracts that can be offered."
"FUTURES CONTRACT PRODUCT","Futures Deliver Price Amt","N/A (LDM)","","","","The future price."
"FUTURES CONTRACT PRODUCT","Futures Required Margin Pct","N/A (LDM)","","","","If this is sold on margin then this is the margin percent."
"FUTURES CONTRACT PRODUCT","Futures Required Minimum Margin Amt","N/A (LDM)","","","","If this is sold on margin then this is the margin amount."
"FUTURES CONTRACT PRODUCT","Futures Deliver Year Num","N/A (LDM)","","","","The number of the year for the delivery of the goods."
"FX AGREEMENT TYPE","","N/A (LDM)","","","","This minor entity classifies a foreign exchange agreement as to the method the exchange is accomplished. Possible values include: - 'Nostra' spot agreement is where your bank has an agreement with another bank to provide foreign currency in the country of the other bank. Your knowledge of your account with this other bank is your 'nostra' account. - Spot deal using open market for currency such as an exchange - Part of a derivative agreement (see DERIVATIVE AGREEMENT)."
"GAME PLAY EVENT","Player Score Meas","N/A (LDM)","Y","","","This indicates the game score value."
"GAME PLAY EVENT","Player Level Val","N/A (LDM)","","","","This indicates the game level reached."
"GAME PLAY EVENT","Multiple Player Ind","N/A (LDM)","","","","This indicates the game was been played by multiple players.   Valid values are:   - Y = Yes - Otherwise, NULL"
"GAME PLAY EVENT","Game Play Alias Name","N/A (LDM)","","","","This is the handle or alias used by this game player."
"GAME PLAY EVENT","Subscription Agreement Id","N/A (LDM)","","","","This is the agreement that is a subscription."
"GAME PLAY EVENT","Visitor Id","N/A (LDM)","","","","This is the unique descriptor for a visitor This descriptor is usually a means of identifying the visitor on repeat visits. In this context, this is the visitor playing the game."
"GAME PLAY EVENT","Player Score Unit Of Measure Cd","N/A (LDM)","","","","The unit in which the quantity or magnitude is expressed. Can apply to any business element requiring a unit of measure. In this context, this is the unit of measure for the player score.  Examples:  - For volume: Milliliter, UK dry pint, liter, liquid ounce, and cubic centimeter - For weight: Kilogram, ton, centigram, ounce, and pound - For length: mm, inch, foot, mile, and kilometer - For area: Square inch, acre, and square kilometer - For units: Each, carton, byte, and piece - For con"
"GAME PLAY EVENT","Game Title Id","N/A (LDM)","","","","The unique identifier for a marketable product that you or your competitor offers that you are interested in tracking. This is the Product Id of the game being played."
"GENDER TYPE","Gender Type Cd","N/A (LDM)","Y","","","This is the unique code for the gender types."
"GENDER TYPE","Gender Type Desc","N/A (LDM)","","","","A description of the code."
"GENERAL AND ADMINISTRATIVE ACCOUNT","","N/A (LDM)","","","","The entity that indicates the operating expense pertains to general and administrative. These expenses are typically classified as administrative in nature, for example, advertising, salaries, commissions, and office expense."
"GENERAL LEDGER ACCOUNT SUBJECT AREA","","N/A (LDM)","","","","Drawing_Object_Rectangle_84189"
"GENERAL MARKET RISK CHARGE TYPE","General Market Risk Charge Type Cd","N/A (LDM)","Y","","","A code indicating the type of general market risk to be applied to this group of products.  Reference Table 4 in the Market Risk Amendment.  Examples: - Yes, as two positions - Yes, as one position in each currency - Carve out together with the associated hedging positions - General market risk charge according to the delta-plus method (gamma and vega should receive separate capital charges)"
"GENERAL MARKET RISK CHARGE TYPE","General Market Risk Charge Type Desc","N/A (LDM)","","","","A description of the code."
"GENERAL MEDICAL STATUS TYPE","Insurance (all LOB)","N/A (LDM)","Y","","",""
"GENERAL MEDICAL STATUS TYPE","General Medical Status Cd","N/A (LDM)","","","","Code to indicate the general medical status such as good, fair, and bad."
"GENERAL MEDICAL STATUS TYPE","General Medical Status Desc","N/A (LDM)","","","","The description of the code."
"GEOGRAPHIC AREA RISK","Geographic Area Risk Num","N/A (LDM)","Y","","","A number representing the degree of severity of this type of risk for this geographic area.  Example: - 1 = lowest - 5 = highest"
"GEOGRAPHIC AREA RISK TYPE","Geographic Area Risk Type Cd","N/A (LDM)","Y","","","A code for any risks (e.g., natural disaster or political) associated with this geographic area such as earthquake, fire, landslides, floods, and hurricane."
"GEOGRAPHIC AREA RISK TYPE","Geographic Area Risk Type Desc","N/A (LDM)","","","","This is a description of the code."
"GEOGRAPHIC AREA SUBJECT","","N/A (LDM)","","","","This entity contains those subjects that are geographic areas such as cities, states, or regional areas. There is one instance for each geographic area."
"GEOGRAPHIC AREA TIME ZONE","","N/A (LDM)","","","","This entity contains the time zones for a given geographic area."
"GEOGRAPHIC ECONOMIC MEASURE","Measure Month Num","N/A (LDM)","Y","","","The month to which this measurement refers."
"GEOGRAPHIC ECONOMIC MEASURE","Measure Year Num","N/A (LDM)","","","","The year to which this measurement refers."
"GEOGRAPHIC ECONOMIC MEASURE","Geographic Measure Rate","N/A (LDM)","","","","The rate for this geographic area for this measurement type if the measurement is expressed as a rate."
"GEOGRAPHIC ECONOMIC MEASURE","Geographic Measure Num","N/A (LDM)","","","","The measurement number for this geographic area for this measurement type if the measurement is expressed as a number."
"GEOGRAPHIC ECONOMIC MEASURE","Geographic Measure Time Period Cd","N/A (LDM)","","","","A code for a time period such as once, daily, weekly, or monthly.  In this context, this is the frequency in which the geographic measurement is measured."
"GEOGRAPHIC LIMIT","Geographic Area Limit Start Dt","N/A (LDM)","Y","","","The date this limit became effective for this geographic area for this type of trade."
"GEOGRAPHIC LIMIT","Geographic Limit Amt","N/A (LDM)","","","","The amount of the limit for this geographic area for this type of trade in the currency of the books."
"GEOGRAPHIC LIMIT","Geographic Area Limit End Dt","N/A (LDM)","","","","The date this limit no longer is effective for this geographic area for this type of trade."
"GEOGRAPHICAL AREA","Geographical Area Id","N/A (LDM)","Y","","","The unique identifier for a GEOGRAPHICAL AREA."
"GEOGRAPHICAL AREA","Geographical Area Short Name","N/A (LDM)","","","","The code or short name of the GEOGRAPHICAL AREA."
"GEOGRAPHICAL AREA","Geographical Area Short Name","N/A (LDM)","","","",""
"GEOGRAPHICAL AREA","Geographical Area Name","N/A (LDM)","","","","The name of the GEOGRAPHICAL AREA."
"GEOGRAPHICAL AREA","Geographical Area Name","N/A (LDM)","","","",""
"GEOGRAPHICAL AREA","Geographical Area Desc","N/A (LDM)","","","","The description of the GEOGRAPHICAL AREA."
"GEOGRAPHICAL AREA","Geographical Area Desc","N/A (LDM)","","","",""
"GEOGRAPHICAL AREA","Geographical Area Start Dt","N/A (LDM)","","","","The date this geographical area was officially created. This is needed for new countries in Europe."
"GEOGRAPHICAL AREA","Geographical Area End Dt","N/A (LDM)","","","","The date this geographical area ceased to exist. This is needed for new countries in Europe."
"GEOGRAPHICAL AREA HOLIDAY","Geographical Area Holiday Name","N/A (LDM)","Y","","","The name of a GEOGRAPHICAL AREA HOLIDAY."
"GEOGRAPHICAL AREA IDENTIFICATION","Geographical Area Identification Val","N/A (LDM)","Y","","","The value for the GEOGRAPHICAL AREA IDENTIFICATION."
"GEOGRAPHICAL AREA IDENTIFICATION TYPE","Geographical Area Identification Type Cd","N/A (LDM)","Y","","","This is the classification of the geographical area identifiers that includes the ISO standards for countries and cities. For example, one type would be the two-digit ISO country code standard, another type would be the three-digit ISO country code standard, another type would be the three-digit numeric ISO country code standard, and another type would be the ISO standard for cities."
"GEOGRAPHICAL AREA IDENTIFICATION TYPE","Geographical Area Identification Type Desc","N/A (LDM)","","","","A description of the code."
"GEOGRAPHICAL AREA SEASON","","N/A (LDM)","","","","This entity associates a GEOGRAPHICAL AREA with a SEASON. For example, the Summer in Australia or the Thanksgiving shopping season in Canada."
"GEOGRAPHICAL AREA SEASON DAY","Gregorian Dt","N/A (LDM)","Y","","",""
"GEOGRAPHICAL AREA SUBTYPE","Geographical Area Subtype Cd","N/A (LDM)","Y","","","A subtype discriminator for GEOGRAPHICAL AREA.   Generic subtypes include geopolitical area, custom area, time zone, and geospatial area.   Specific subtypes examples are postal code, country, city, region, and territory."
"GEOGRAPHICAL AREA SUBTYPE","Geographical Area Subtype Desc","N/A (LDM)","","","","A description of the GEOGRAPHICAL AREA SUBTYPE."
"GEOGRAPHICAL AREA SUBTYPE","Geographical Area Type Desc","N/A (LDM)","","","",""
"GEOGRAPHY RISK GRADE","Geography Risk Grade Start Dttm","N/A (LDM)","Y","","","The date when this risk grade is effective for this geographical area."
